X,genus,X,species,subttype,subtaxa,native_status,rarity_status,invasive_status
,Symphyotrichum,,ericoides,var.,ericoides,N,,
,Symphyotrichum,,ericoides,var.,pansum,N,,
,Symphyotrichum,,falcatum,var.,commutatum,N,,
,Symphyotrichum,,firmum,,,N,,
,Symphyotrichum,,laeve,,,N,,
,Symphyotrichum,,laeve,var.,geyeri,N,H,
,Symphyotrichum,,laeve,var.,laeve,N,,
,Symphyotrichum,,lanceolatum,,,N,,
,Symphyotrichum,,lanceolatum,var.,hesperium,N,,
,Symphyotrichum,,lanceolatum,var.,interior,N,,
,Symphyotrichum,,lanceolatum,var.,lanceolatum,N,,
,Symphyotrichum,,lateriflorum,,,N,,
,Symphyotrichum,X,longulum,,,N,,
,Symphyotrichum,,novae-angliae,,,N,,
,Symphyotrichum,,oblongifolium,,,N,,
,Symphyotrichum,,ontarionis,var.,ontarionis,N,,
,Symphyotrichum,,oolentangiense,,,N,,
,Symphyotrichum,,pilosum,,,N,W,
,Symphyotrichum,,pilosum,var.,pilosum,N,W,
,Symphyotrichum,,pilosum,var.,pringlei,N,W,
,Symphyotrichum,,praealtum,,,N,,
,Symphyotrichum,,prenanthoides,,,N,,
,Symphyotrichum,,puniceum,var.,puniceum,N,,
,Symphyotrichum,,sericeum,,,N,,
,Symphyotrichum,,shortii,,,N,SC,
,Symphyotrichum,,urophyllum,,,N,,
,Tanacetum,,parthenium,,,I,,
,Tanacetum,,vulgare,,,I,,SN
,Taraxacum,,erythrospermum,,,I,,
,Taraxacum,,officinale,,,I,,
,Tephroseris,,palustris,,,N,,
,Tragopogon,,dubius,,,I,,
,Tragopogon,,pratensis,,,I,,
,Tripleurospermum,,inodorum,,,I,,
,Vernonia,,fasciculata,,,N,,
,Xanthisma,,spinulosum,var.,spinulosum,N,SC,
,Xanthium,,strumarium,,,N,,
,Azolla,,mexicana,,,N,SC,
,Impatiens,,capensis,,,N,,
,Impatiens,,pallida,,,N,,
,Berberis,,thunbergii,,,I,,
,Berberis,,vulgaris,,,I,,
,Caulophyllum,,thalictroides,,,N,,
,Jeffersonia,,diphylla,,,N,SC,
,Podophyllum,,peltatum,,,N,,
,Alnus,,incana,subsp.,rugosa,N,,
,Alnus,,viridis,subsp.,crispa,N,,
,Betula,,alleghaniensis,,,N,,
,Betula,,cordifolia,,,N,,
,Betula,,nigra,,,N,,
,Betula,,papyrifera,,,N,,
,Betula,,pumila,,,N,,
,Betula,X,purpusii,,,N,,
,Betula,X,rosendahlii,,,N,,
,Betula,X,sandbergii,,,N,,
,Carpinus,,caroliniana,subsp.,virginiana,N,,
,Corylus,,americana,,,N,,
,Corylus,,cornuta,subsp.,cornuta,N,,
,Ostrya,,virginiana,,,N,,
,Catalpa,,speciosa,,,I,,
,Anchusa,,arvensis,,,I,,
,Cynoglossum,,officinale,,,I,,
,Cynoglossum,,virginianum,var.,boreale,N,,
,Echium,,vulgare,,,I,,
,Hackelia,,deflexa,var.,americana,N,,
,Hackelia,,virginiana,,,N,,
,Lappula,,redowskii,,,I,,
,Lappula,,squarrosa,,,I,,
,Lithospermum,,canescens,,,N,,
,Lithospermum,,caroliniense,var.,croceum,N,,
,Lithospermum,,incisum,,,N,,
,Lithospermum,,latifolium,,,N,,
,Mertensia,,paniculata,,,N,,
,Mertensia,,virginica,,,N,,
,Myosotis,,arvensis,,,I,,
,Myosotis,,laxa,,,N,,
,Myosotis,,scorpioides,,,I,,
,Myosotis,,verna,,,N,,
,Onosmodium,,molle,,,N,,
,Onosmodium,,molle,var.,hispidissimum,N,,
,Onosmodium,,molle,var.,occidentale,N,,
,Plagiobothrys,,scouleri,var.,penicillatus,N,SC,
,Symphytum,,officinale,,,I,,
,Alliaria,,petiolata,,,I,,SN
,Alyssum,,alyssoides,,,I,,
,Arabidopsis,,lyrata,subsp.,lyrata,N,,
,Arabis,,laevigata,var.,laevigata,N,SC,
,Arabis,,pycnocarpa,var.,pycnocarpa,N,,
,Armoracia,,rusticana,,,I,,
,Barbarea,,orthoceras,,,I,,
,Barbarea,,vulgaris,,,I,,
,Berteroa,,incana,,,I,,RS
,Boechera,,canadensis,,,N,,
,Boechera,,collinsii,,,N,H,
,Boechera,,dentata,,,N,,
,Boechera,,grahamii,,,N,,
,Boechera,,missouriensis,,,N,,
,Boechera,,retrofracta,,,N,T,
,Boechera,,stricta,,,N,,
,Brassica,,juncea,,,I,,
,Brassica,,nigra,,,I,,
,Brassica,,rapa,,,I,,
,Camelina,,alyssum,,,I,,
,Camelina,,microcarpa,,,I,,
,Camelina,,sativa,,,I,,
,Capsella,,bursa-pastoris,,,I,,
,Cardamine,,bulbosa,,,N,,
,Cardamine,,concatenata,,,N,,
,Cardamine,,impatiens,,,N,,
,Cardamine,,parviflora,,,N,,
,Cardamine,,pensylvanica,,,N,,
,Cardamine,,pratensis,,,N,T,
,Conringia,,orientalis,,,I,,
,Descurainia,,incana,,,N,H,
,Descurainia,,pinnata,subsp.,brachycarpa,N,,
,Descurainia,,sophia,,,I,,
,Draba,,arabisans,,,N,SC,
,Draba,,cana,,,N,E,
,Draba,,nemorosa,,,N,,
,Draba,,norvegica,,,N,E,
,Draba,,reptans,,,N,,
,Erucastrum,,gallicum,,,I,,
,Erysimum,,asperum,,,N,,
,Erysimum,,cheiranthoides,,,I,,
,Erysimum,,inconspicuum,,,N,,
,Hesperis,,matronalis,,,I,,
,Iodanthus,,pinnatifidus,,,N,E,
,Lepidium,,campestre,,,I,,
,Lepidium,,densiflorum,,,N,,
,Lepidium,,draba,,,I,,PS
,Lepidium,,virginicum,subsp.,virginicum,N,,
,Lobularia,,maritima,,,I,,
,Nasturtium,,microphyllum,,,I,,
,Nasturtium,,officinale,,,I,,
,Neslia,,paniculata,,,I,,
,Physaria,,ludoviciana,,,N,E,
,Raphanus,,raphanistrum,,,I,,RS
,Rorippa,,aquatica,,,N,,
,Rorippa,,palustris,,,N,,
,Rorippa,,palustris,subsp.,hispida,N,,
,Rorippa,,palustris,subsp.,palustris,N,,
,Rorippa,,sessiliflora,,,N,SC,
,Rorippa,,sinuata,,,N,W,
,Rorippa,,sylvestris,,,I,W,
,Sinapis,,arvensis,,,I,,
,Sisymbrium,,altissimum,,,I,,
,Sisymbrium,,loeselii,,,I,,
,Sisymbrium,,officinale,,,I,,
,Subularia,,aquatica,subsp.,americana,N,T,
,Thlaspi,,arvense,,,I,,RS
,Turritis,,glabra,,,N,,
,Butomus,,umbellatus,,,I,,PI
,Brasenia,,schreberi,,,N,,
,Escobaria,,vivipara,,,N,E,
,Opuntia,,fragilis,,,N,,
,Opuntia,,macrorhiza,,,N,SC,
,Chamaecrista,,fasciculata,,,N,,
,Gleditsia,,triacanthos,,,N,W,
,Gymnocladus,,dioicus,,,N,SC,
,Callitriche,,hermaphroditica,,,N,,
,Callitriche,,heterophylla,,,N,T,
,Callitriche,,palustris,,,N,,
,Campanula,,americana,,,N,,
,Campanula,,aparinoides,,,N,,
,Campanula,,aparinoides,var.,aparinoides,N,,
,Campanula,,aparinoides,var.,grandiflora,N,,
,Campanula,,cervicaria,,,I,,
,Campanula,,rapunculoides,,,I,,
,Campanula,,rotundifolia,,,N,,
,Lobelia,,cardinalis,var.,cardinalis,N,,
,Lobelia,,dortmanna,,,N,,
,Lobelia,,inflata,,,N,,
,Lobelia,,kalmii,,,N,,
,Lobelia,,siphilitica,,,N,,
,Lobelia,,siphilitica,var.,ludoviciana,N,,
,Lobelia,,siphilitica,var.,siphilitica,N,,
,Lobelia,,spicata,,,N,,
,Lobelia,,spicata,var.,hirtella,N,,
,Lobelia,,spicata,var.,spicata,N,,
,Triodanis,,leptocarpa,,,N,H,
,Triodanis,,perfoliata,,,N,,
,Cannabis,,sativa,,,I,,PS
,Humulus,,japonicus,,,I,,
,Humulus,,lupulus,,,N,,
,Humulus,,lupulus,var.,lupuloides,N,,
,Humulus,,lupulus,var.,pubescens,N,,
,Diervilla,,lonicera,,,N,,
,Linnaea,,borealis,var.,longiflora,N,,
,Lonicera,X,bella,,,I,,
,Lonicera,,canadensis,,,N,,
,Lonicera,,dioica,,,N,,
,Lonicera,,dioica,var.,dioica,N,,
,Lonicera,,dioica,var.,glaucescens,N,,
,Lonicera,,hirsuta,,,N,,
,Lonicera,,morrowii,,,I,,
,Lonicera,,oblongifolia,,,N,,
