X,genus,X,species,subttype,subtaxa,germcode
,Lysimachia,,ciliata,,,"C(60)"
,Lysimachia,,quadriflora,,,"C(60)"
,Lysimachia,,thyrsiflora,,,"C(60)"
,Lythrum,,alatum,,,"C(60)"
,Melanthium,,virginicum,,,"C(60)"
,Menispermum,,canadense,,,"C(60)"
,Mertensia,,virginica,,,"C(60)"
,Mimulus,,ringens,,,"C(60)"
,Monarda,,bradburiana,,,"C(60)"
,Napaea,,dioica,,,"C(60)"
,Oenothera,,macrocarpa,,,"C(60)"
,Oligoneuron,,riddellii,,,"C(60)"
,Oligoneuron,,rigidum,,,"C(60)"
,Osmorhiza,,claytonii,,,"C(60)"
,Osmorhiza,,longistylis,,,"C(60)"
,Oxalis,,violacea,,,"C(60)"
,Packera,,aurea,,,"C(60)"
,Packera,,plattensis,,,"C(60)"
,Parthenium,,integrifolium,,,"C(60)"
,Passiflora,,incarnata,,,"C(60)"
,Penstemon,,hirsutus,,,"C(60)"
,Penthorum,,sedoides,,,"C(60)"
,Perideridia,,americana,,,"C(60)"
,Persicaria,,amphibia,,,"C(60)"
,Persicaria,,pensylvanica,,,"C(60)"
,Persicaria,,punctata,,,"C(60)"
,Persicaria,,virginiana,,,"C(60)"
,Phlox,,divaricata,,,"C(60)"
,Phlox,,glaberrima,subsp.,interior,"C(60)"
,Phlox,,maculata,,,"C(60)"
,Phlox,,paniculata,,,"C(60)"
,Phlox,,pilosa,,,"C(60)"
,Phryma,,leptostachya,,,"C(60)"
,Phyla,,lanceolata,,,"C(60)"
,Physostegia,,angustifolia,,,"C(60)"
,Physostegia,,virginiana,,,"C(60)"
,Polemonium,,reptans,,,"C(60)"
,Polygala,,senega,,,"C(60)"
,Polymnia,,canadensis,,,"C(60)"
,Polymnia,,uvedalia,,,"C(60)"
,Pontederia,,cordata,,,"C(60)"
,Porteranthus,,stipulatus,,,"C(60)"
,Potentilla,,palustris,,,"C(60)"
,Prenanthes,,alba,,,"C(60)"
,Pseudognaphalium,,obtusifolium,,,"C(60)"
,Ranunculus,,fascicularis,,,"C(60)"
,Ranunculus,,pensylvanicus,,,"C(60)"
,Ranunculus,,rhomboideus,,,"C(60)"
,Ranunculus,,septentrionalis,,,"C(60)"
,Rhexia,,virginica,,,"C(60)"
,Rudbeckia,,fulgida,,,"C(60)"
,Ruellia,,humilis,,,"C(60)"
,Ruellia,,strepens,,,"C(60)"
,Rumex,,orbiculatus,,,"C(60)"
,Sagittaria,,brevirostra,,,"C(60)"
,Sagittaria,,cuneata,,,"C(60)"
,Sagittaria,,latifolia,,,"C(60)"
,Saururus,,cernuus,,,"C(60)"
,Saxifraga,,pensylvanica,,,"C(60)"
,Scrophularia,,lanceolata,,,"C(60)"
,Scrophularia,,marilandica,,,"C(60)"
,Scutellaria,,galericulata,,,"C(60)"
,Scutellaria,,incana,,,"C(60)"
,Scutellaria,,lateriflora,,,"C(60)"
,Scutellaria,,leonardii,,,"C(60)"
,Scutellaria,,ovata,,,"C(60)"
,Senecio,,congestus,,,"C(60)"
,Sicyos,,angulatus,,,"C(60)"
,Silene,,nivea,,,"C(60)"
,Silene,,regia,,,"C(60)"
,Silene,,stellata,,,"C(60)"
,Silene,,virginica,,,"C(60)"
,Silphium,,integrifolium,,,"C(60)"
,Silphium,,laciniatum,,,"C(60)"
,Silphium,,perfoliatum,,,"C(60)"
,Silphium,,terebinthinaceum,,,"C(60)"
,Silphium,,trifoliatum,,,"C(60)"
,Sisyrinchium,,albidum,,,"C(60)"
,Sisyrinchium,,angustifolium,,,"C(60)"
,Sisyrinchium,,campestre,,,"C(60)"
,Sium,,suave,,,"C(60)"
,Solidago,,caesia,,,"C(60)"
,Solidago,,flexicaulis,,,"C(60)"
,Solidago,,gigantea,,,"C(60)"
,Solidago,,juncea,,,"C(60)"
,Solidago,,missouriensis,,,"C(60)"
,Solidago,,nemoralis,,,"C(60)"
,Solidago,,odora,,,"C(60)"
,Solidago,,patula,,,"C(60)"
,Solidago,,rugosa,,,"C(60)"
,Solidago,,sciaphila,,,"C(60)"
,Solidago,,speciosa,,,"C(60)"
,Solidago,,uliginosa,,,"C(60)"
,Solidago,,ulmifolia,,,"C(60)"
,Symphyotrichum,,cordifolium,,,"C(60)"
,Symphyotrichum,,firmum,,,"C(60)"
,Symphyotrichum,,novae-angliae,,,"C(60)"
,Symphyotrichum,,novi-belgii,,,"C(60)"
,Symphyotrichum,,pilosum,,,"C(60)"
,Symphyotrichum,,prenanthoides,,,"C(60)"
,Symphyotrichum,,puniceum,,,"C(60)"
,Symphyotrichum,,sericeum,,,"C(60)"
,Taenidia,,integerrima,,,"C(60)"
,Talinum,,rugospermum,,,"C(60)"
,Teucrium,,canadense,,,"C(60)"
,Thalictrum,,dasycarpum,,,"C(60)"
,Thalictrum,,dioicum,,,"C(60)"
,Triodanis,,perfoliata,,,"C(60)"
,Understory,,Collection,,,"C(60)"
,Valeriana,,edulis,var.,ciliata,"C(60)"
,Verbena,,stricta,,,"C(60)"
,Verbesina,,helianthoides,,,"C(60)"
,Vernonia,,baldwinii,,,"C(60)"
,Vernonia,,fasciculata,,,"C(60)"
,Vernonia,,gigantea,,,"C(60)"
,Vernonia,,missurica,,,"C(60)"
,Vernonia,,noveboracensis,,,"C(60)"
,Viola,,nuttallii,,,"C(60)"
,Viola,,pedata,,,"C(60)"
,Viola,,pedatifida,,,"C(60)"
,Viola,,pubescens,var.,eriocarpa,"C(60)"
,Viola,,sororia,,,"C(60)"
,Viola,,sororia,f.,rubra,"C(60)"
,Zigadenus,,elegans,,,"C(60)"
,Zizia,,aptera,,,"C(60)"
,Zizia,,aurea,,,"C(60)"
,Chelone,,glabra,,,"C(90)"
,Clematis,,occidentalis,var.,occidentalis,"C(90)"
,Echinacea,,angustifolia,,,"C(90)"
,Echinacea,,pallida,,,"C(90)"
,Echinodorus,,berteroi,,,"C(90)"
,Filipendula,,rubra,,,"C(90)"
,Galium,,boreale,,,"C(90)"
,Geranium,,carolinianum,,,"C(90)"
,Podophyllum,,peltatum,,,"C(90)"
,Potentilla,,paradoxa,,,"C(90)"
,Sabatia,,angularis,,,"C(90)"
,Agalinis,,purpurea,,,D
,Agalinis,,tenuifolia,,,D
,Agastache,,foeniculum,,,D
,Agastache,,nepetoides,,,D
,Agastache,,scrophulariifolia,,,D
,Ageratina,,altissima,,,D
,Antennaria,,neglecta,,,D
,Antennaria,,parlinii,,,D
,Antennaria,,plantaginifolia,,,D
,Arabis,,glabra,,,D
,Artemisia,,ludoviciana,,,D
,Boltonia,,asteroides,,,D
,Boltonia,,decurrens,,,D
,Campanula,,rotundifolia,,,D
,Castilleja,,coccinea,,,D
,Castilleja,,sessiliflora,,,D
,Chamaenerion,,angustifolium,,,D
,Conoclinium,,coelestinum,,,D
,Dodecatheon,,amethystinum,,,D
,Dodecatheon,,meadia,,,D
,Dodecatheon,,pulchellum,,,D
,Drymocallis,,arguta,,,D
,Epilobium,,coloratum,,,D
,Epilobium,,glandulosum,,,D
,Eupatorium,,perfoliatum,,,D
,Euthamia,,graminifolia,,,D
,Euthamia,,gymnospermoides,,,D
,Eutrochium,,maculatum,,,D
,Gentiana,,andrewsii,,,D
,Gentiana,,flavida,,,D
,Gentiana,,puberulenta,,,D
,Gentianella,,quinquefolia,,,D
,Gentianopsis,,crinita,,,D
,Helenium,,autumnale,,,D
,Heuchera,,richardsonii,,,D
,Houstonia,,longifolia,,,D
,Hypericum,,prolificum,,,D
,Hypericum,,punctatum,,,D
,Hypericum,,pyramidatum,,,D
,Hypericum,,virginicum,,,D
,Lobelia,,cardinalis,,,D
,Lobelia,,inflata,,,D
,Lobelia,,siphilitica,,,D
,Lobelia,,spicata,,,D
,Lycopus,,americanus,,,D
,Lysimachia,,quadriflora,,,D
,Lysimachia,,thyrsiflora,,,D
,Lythrum,,alatum,,,D
,Mentha,,arvensis,,,D
,Mimulus,,ringens,,,D
,Monarda,,punctata,,,D
,Nicotiana,,rustica,,,D
,Oenothera,,biennis,,,D
,Oenothera,,rhombipetala,,,D
,Oligoneuron,,ohioense,,,D
,Oligoneuron,,riddellii,,,D
,Packera,,plattensis,,,D
,Parnassia,,glauca,,,D
,Penstemon,,hirsutus,,,D
,Penstemon,,pallidus,,,D
,Penstemon,,tubaeflorus,,,D
,Penthorum,,sedoides,,,D
,Persicaria,,pensylvanica,,,D
,Persicaria,,punctata,,,D
,Potentilla,,palustris,,,D
,Pseudognaphalium,,obtusifolium,,,D
,Pycnanthemum,,muticum,,,D
,Pycnanthemum,,tenuifolium,,,D
,Pycnanthemum,,verticillatum,var.,pilosum,D
,Pycnanthemum,,virginianum,,,D
,Rhexia,,virginica,,,D
,Sabatia,,angularis,,,D
,Saxifraga,,pensylvanica,,,D
,Scrophularia,,lanceolata,,,D
,Scrophularia,,marilandica,,,D
,Sedum,,pulchellum,,,D
,Solidago,,caesia,,,D
,Solidago,,flexicaulis,,,D
,Solidago,,gigantea,,,D
,Solidago,,juncea,,,D
,Solidago,,nemoralis,,,D
,Solidago,,odora,,,D
,Solidago,,patula,,,D
